"","Timestamp","nascimento","genero","escolaridade","altura","peso","horas_sono","exercicios_fisicos","acucar","origem_animal","estudante","turno","horas_estudo","desempenho_estudo","empregado","tipo_trabalhador","desempenho_trabalho","cansado","vezes_doente","foi_medico","medicacao","doador","doador_sentiu_mal","doador_familia"
"1","2019/04/06 12:55:32 PM GMT-3","1990-03-21","Masculino","Ensino Superior incompleto",1.78,106,"Menos de 6 horas","3","Alguns dias na semana","Todos os dias, em 1 ou 2 refeições","Sim","Manhã",2,"Notas variam entre A, B e C (A é equivalente ao intervalo 9 a 10; B é equivalente ao intervalo 7,5 a 9; C é equivalente ao intervalo 6 a 7,5)","Sim","Assalariado(a)","Excelente, dou o máximo de mim","Sempre, independente do quanto eu durmo","1 a 2","Não, em nenhuma","","Sim","Não",""
"2","2019/04/06 1:09:48 PM GMT-3","1998-09-18","Masculino","Ensino Superior incompleto",1.82,75,"6 a 8 horas","1","Alguns dias na semana","Alguns dias na semana","Sim","Manhã",4,"Notas variam entre A, B e C (A é equivalente ao intervalo 9 a 10; B é equivalente ao intervalo 7,5 a 9; C é equivalente ao intervalo 6 a 7,5)","Não","","","Apenas quando durmo pouco","1 a 2","Sim, em algumas","Sim","Não","",""
"3","2019/04/06 1:13:32 PM GMT-3","1999-11-08","Masculino","Ensino Superior incompleto",1.8,78,"6 a 8 horas","Nenhuma","Todos os dias, em 1 ou 2 refeições","Todos os dias, em 1 ou 2 refeições","Sim","Manhã",4,"Notas variam entre A e B (A é equivalente ao intervalo 9 a 10; B é equivalente ao intervalo 7,5 a 9)","Sim","Assalariado(a)","Excelente, dou o máximo de mim","Apenas quando durmo pouco","1 a 2","Não, em nenhuma","","Não","",""
"4","2019/04/06 3:46:38 PM GMT-3","1993-08-03","Feminino","Ensino Superior incompleto",1.6,51,"6 a 8 horas","3","Alguns dias na semana","Raramente","Sim","Manhã",4,"Notas variam entre A, B e C (A é equivalente ao intervalo 9 a 10; B é equivalente ao intervalo 7,5 a 9; C é equivalente ao intervalo 6 a 7,5)","Sim","Assalariado(a)","Excelente, dou o máximo de mim","Apenas quando durmo pouco","1 a 2","Sim, em todas","Sim","Sim","Sim","Não sei"
"5","2019/04/06 3:53:22 PM GMT-3","1998-07-25","Feminino","Ensino Superior incompleto",1.61,50,"6 a 8 horas","2","Raramente","Nunca","Sim","Noite",4,"Notas variam entre A, B e C (A é equivalente ao intervalo 9 a 10; B é equivalente ao intervalo 7,5 a 9; C é equivalente ao intervalo 6 a 7,5)","Sim","Assalariado(a)","Bom","Apenas quando durmo pouco","1 a 2","Sim, em algumas","Sim","Não","",""
"6","2019/04/06 3:54:48 PM GMT-3","1991-01-19","Masculino","Ensino Superior incompleto",1.66,60,"Menos de 6 horas","5","Todos os dias, em todas as refeições","Todos os dias, em todas as refeições","Sim","Tarde",8,"Quase sempre nota C (C é equivalente ao intervalo de 6 a 7,5)","Sim","Assalariado(a)","Regular, posso performar melhor","Apenas quando durmo pouco","3 ou mais","Sim, em algumas","Sim","Sim","Não",""
"7","2019/04/06 3:56:51 PM GMT-3","1995-11-30","Masculino","Ensino Superior incompleto",1.91,103,"6 a 8 horas","3","Alguns dias na semana","Todos os dias, em 1 ou 2 refeições","Sim","Noite",8,"Notas variam entre A, B e C (A é equivalente ao intervalo 9 a 10; B é equivalente ao intervalo 7,5 a 9; C é equivalente ao intervalo 6 a 7,5)","Não","","","Apenas quando durmo pouco","1 a 2","Não, em nenhuma","","Não","",""
"8","2019/04/06 3:57:39 PM GMT-3","2000-03-12","Masculino","Ensino Superior incompleto",1.7,65,"6 a 8 horas","3","Alguns dias na semana","Todos os dias, em todas as refeições","Sim","Manhã",10,"Notas variam entre A, B e C (A é equivalente ao intervalo 9 a 10; B é equivalente ao intervalo 7,5 a 9; C é equivalente ao intervalo 6 a 7,5)","Não","","","Apenas quando durmo pouco","3 ou mais","Sim, em algumas","Sim","Sim","Sim","Não"
"9","2019/04/06 4:01:21 PM GMT-3","1991-02-02","Masculino","Ensino Superior incompleto",1.72,80,"Menos de 6 horas","Nenhuma","Todos os dias, em 1 ou 2 refeições","Todos os dias, em todas as refeições","Sim","Noite",1,"Notas variam entre A, B e C (A é equivalente ao intervalo 9 a 10; B é equivalente ao intervalo 7,5 a 9; C é equivalente ao intervalo 6 a 7,5)","Sim","Assalariado(a)","Ruim, não estou motivado(a)","Sempre, independente do quanto eu durmo","1 a 2","Não, em nenhuma","","Não","",""
"10","2019/04/06 4:01:53 PM GMT-3","1998-09-28","Masculino","Ensino Superior incompleto",1.71,62,"Menos de 6 horas","2","Alguns dias na semana","Todos os dias, em 1 ou 2 refeições","Sim","Mais de um turno",10,"Quase sempre nota A (A é equivalente ao intervalo de 9 a 10)","Não","","","Sempre, independente do quanto eu durmo","3 ou mais","Sim, em algumas","Sim","Sim","Não",""
"11","2019/04/06 4:08:20 PM GMT-3","1993-11-06","Masculino","Ensino Superior completo",1.97,88,"6 a 8 horas","4","Raramente","Todos os dias, em 1 ou 2 refeições","Não","",NA,"","Sim","Profissional liberal","Excelente, dou o máximo de mim","Apenas quando durmo pouco","1 a 2","Não, em nenhuma","","Não","",""
"12","2019/04/06 4:10:24 PM GMT-3","1992-08-22","Masculino","Ensino Superior completo",1.72,84,"Menos de 6 horas","Nenhuma","Alguns dias na semana","Todos os dias, em 1 ou 2 refeições","Sim","Manhã",4,"Notas variam entre A, B e C (A é equivalente ao intervalo 9 a 10; B é equivalente ao intervalo 7,5 a 9; C é equivalente ao intervalo 6 a 7,5)","Não","","","Apenas quando durmo pouco","3 ou mais","Não, em nenhuma","","Não","",""
"13","2019/04/06 4:10:26 PM GMT-3","1999-06-17","Feminino","Ensino Superior incompleto",1.58,59,"6 a 8 horas","Nenhuma","Todos os dias, em 1 ou 2 refeições","Todos os dias, em todas as refeições","Sim","Mais de um turno",3,"Notas variam entre A e B (A é equivalente ao intervalo 9 a 10; B é equivalente ao intervalo 7,5 a 9)","Não","","","Apenas quando durmo pouco","3 ou mais","Sim, em algumas","Sim","Não","",""
"14","2019/04/06 4:13:18 PM GMT-3","1989-01-20","Masculino","Ensino Superior completo",1.75,70,"6 a 8 horas","Nenhuma","Raramente","Todos os dias, em 1 ou 2 refeições","Não","",NA,"","Sim","Assalariado(a)","Regular, posso performar melhor","Apenas quando durmo pouco","1 a 2","Sim, em algumas","Sim","Sim","Sim","Não sei"
"15","2019/04/06 4:17:15 PM GMT-3","1987-02-08","Masculino","Ensino Superior completo",1.68,88,"6 a 8 horas","5","Alguns dias na semana","Todos os dias, em todas as refeições","Não","",NA,"","Sim","Assalariado(a)","Bom","Raramente","1 a 2","Sim, em algumas","Sim","Sim","Não",""
"16","2019/04/06 4:17:45 PM GMT-3","1999-11-26","Masculino","Ensino Médio completo",1.57,75,"6 a 8 horas","Nenhuma","Alguns dias na semana","Todos os dias, em todas as refeições","Sim","Mais de um turno",2,"Notas variam entre A, B e C (A é equivalente ao intervalo 9 a 10; B é equivalente ao intervalo 7,5 a 9; C é equivalente ao intervalo 6 a 7,5)","Sim","Assalariado(a)","Excelente, dou o máximo de mim","Sempre, independente do quanto eu durmo","1 a 2","Sim, em algumas","Sim","Não","",""
"17","2019/04/06 4:18:40 PM GMT-3","1992-06-06","Masculino","Ensino Superior completo",1.7,55,"6 a 8 horas","3","Todos os dias, em 1 ou 2 refeições","Todos os dias, em todas as refeições","Sim","Noite",4,"Notas variam entre A, B e C (A é equivalente ao intervalo 9 a 10; B é equivalente ao intervalo 7,5 a 9; C é equivalente ao intervalo 6 a 7,5)","Sim","Assalariado(a)","Excelente, dou o máximo de mim","Sempre, independente do quanto eu durmo","3 ou mais","Não, em nenhuma","","Não","",""
"18","2019/04/06 4:19:13 PM GMT-3","2000-12-20","Masculino","Ensino Médio completo",1.79,60,"6 a 8 horas","2","Todos os dias, em 1 ou 2 refeições","Todos os dias, em todas as refeições","Sim","Noite",2,"Notas variam entre B e C (B é equivalente ao intervalo 7,5 a 9; C é equivalente ao intervalo 6 a 7,5)","Não","","","Apenas quando durmo pouco","1 a 2","Sim, em algumas","Sim","Sim","Não",""
"19","2019/04/06 4:22:29 PM GMT-3","2019-10-09","Masculino","Ensino Superior completo",1.9,103,"Menos de 6 horas","1","Alguns dias na semana","Todos os dias, em 1 ou 2 refeições","Sim","Mais de um turno",10,"Quase sempre nota A (A é equivalente ao intervalo de 9 a 10)","Sim","Freelancer","Excelente, dou o máximo de mim","Sempre, independente do quanto eu durmo","1 a 2","Não, em nenhuma","","Sim","Não",""
"20","2019/04/06 4:22:53 PM GMT-3","1979-01-10","Masculino","Ensino Superior completo",1.8,80,"Menos de 6 horas","Nenhuma","Raramente","Alguns dias na semana","Sim","Manhã",10,"Notas variam entre A, B e C (A é equivalente ao intervalo 9 a 10; B é equivalente ao intervalo 7,5 a 9; C é equivalente ao intervalo 6 a 7,5)","Sim","Assalariado(a)","Excelente, dou o máximo de mim","Sempre, independente do quanto eu durmo","1 a 2","Não, em nenhuma","","Não","",""
"21","2019/04/06 4:27:29 PM GMT-3","1991-03-09","Masculino","Ensino Superior completo",1.95,95,"6 a 8 horas","4","Alguns dias na semana","Todos os dias, em 1 ou 2 refeições","Não","",NA,"","Sim","Assalariado(a)","Bom","Apenas quando durmo pouco","1 a 2","Sim, em algumas","Sim","Não","",""
"22","2019/04/06 4:38:32 PM GMT-3","1998-01-21","Masculino","Ensino Superior incompleto",1.78,90,"6 a 8 horas","Nenhuma","Alguns dias na semana","Todos os dias, em todas as refeições","Sim","Manhã",2,"Notas variam entre C e D (C é equivalente ao intervalo 6 a 7,5; D é reprovação)","Não","","","Sempre, independente do quanto eu durmo","1 a 2","Não, em nenhuma","","Não","",""
"23","2019/04/06 4:42:53 PM GMT-3","1994-09-10","Masculino","Ensino Superior incompleto",1.82,70,"Menos de 6 horas","Nenhuma","Todos os dias, em 1 ou 2 refeições","Todos os dias, em 1 ou 2 refeições","Sim","Noite",6,"Notas variam entre A e B (A é equivalente ao intervalo 9 a 10; B é equivalente ao intervalo 7,5 a 9)","Sim","Assalariado(a)","Regular, posso performar melhor","Sempre, independente do quanto eu durmo","1 a 2","Não, em nenhuma","","Não","",""
"24","2019/04/06 4:45:01 PM GMT-3","1986-04-29","Feminino","Ensino Superior incompleto",1.69,69,"6 a 8 horas","2","Todos os dias, em 1 ou 2 refeições","Todos os dias, em 1 ou 2 refeições","Sim","Noite",4,"Notas variam entre A e B (A é equivalente ao intervalo 9 a 10; B é equivalente ao intervalo 7,5 a 9)","Não","","","Apenas quando durmo pouco","1 a 2","Sim, em algumas","Sim","Sim","Não",""
"25","2019/04/06 4:47:39 PM GMT-3","1992-09-22","Masculino","Ensino Superior incompleto",1.72,67,"6 a 8 horas","5","Todos os dias, em 1 ou 2 refeições","Todos os dias, em 1 ou 2 refeições","Sim","Noite",5,"Quase sempre nota A (A é equivalente ao intervalo de 9 a 10)","Sim","Assalariado(a)","Excelente, dou o máximo de mim","Apenas quando durmo pouco","1 a 2","Sim, em algumas","Sim","Sim","Não",""
"26","2019/04/06 5:10:10 PM GMT-3","1993-09-04","Feminino","Ensino Superior completo",1.61,55,"6 a 8 horas","3","Alguns dias na semana","Alguns dias na semana","Sim","Noite",20,"Notas variam entre A e B (A é equivalente ao intervalo 9 a 10; B é equivalente ao intervalo 7,5 a 9)","Sim","Estagiário(a)","Bom","Apenas quando durmo pouco","1 a 2","Não, em nenhuma","","Sim","Não",""
"27","2019/04/06 5:13:25 PM GMT-3","1990-09-30","Masculino","Ensino Superior completo",1.75,94,"6 a 8 horas","Nenhuma","Alguns dias na semana","Todos os dias, em todas as refeições","Sim","Noite",4,"Quase sempre nota A (A é equivalente ao intervalo de 9 a 10)","Sim","Assalariado(a)","Excelente, dou o máximo de mim","Apenas quando durmo pouco","1 a 2","Não, em nenhuma","","Não","",""
"28","2019/04/06 5:14:23 PM GMT-3","1992-04-16","Feminino","Ensino Superior completo",1.68,54,"6 a 8 horas","3","Alguns dias na semana","Nunca","Sim","Manhã",5,"Quase sempre nota A (A é equivalente ao intervalo de 9 a 10)","Sim","Autônomo(a)","Regular, posso performar melhor","Apenas quando durmo pouco","Nenhuma","","","Sim","Não",""
"29","2019/04/06 5:16:41 PM GMT-3","1997-04-20","Feminino","Ensino Superior incompleto",1.7,63,"6 a 8 horas","Nenhuma","Alguns dias na semana","Alguns dias na semana","Sim","Manhã",15,"Notas variam entre A e B (A é equivalente ao intervalo 9 a 10; B é equivalente ao intervalo 7,5 a 9)","Não","","","Sempre, independente do quanto eu durmo","3 ou mais","Sim, em todas","Sim","Não","",""
"30","2019/04/06 5:33:18 PM GMT-3","1956-11-20","Feminino","Ensino Superior completo",1.52,69,"6 a 8 horas","2","Raramente","Todos os dias, em 1 ou 2 refeições","Não","",NA,"","Sim","Empresário(a)","Excelente, dou o máximo de mim","Apenas quando durmo pouco","1 a 2","Sim, em todas","Não","Não","",""
"31","2019/04/06 5:48:49 PM GMT-3","2000-05-24","Masculino","Ensino Superior incompleto",1.8,67,"6 a 8 horas","Nenhuma","Alguns dias na semana","Todos os dias, em todas as refeições","Sim","Manhã",4,"Notas variam entre A, B e C (A é equivalente ao intervalo 9 a 10; B é equivalente ao intervalo 7,5 a 9; C é equivalente ao intervalo 6 a 7,5)","Não","","","Apenas quando durmo pouco","3 ou mais","Sim, em algumas","Sim","Não","",""
"32","2019/04/06 5:50:31 PM GMT-3","1988-10-27","Feminino","Ensino Superior completo",1.7,62,"6 a 8 horas","2","Alguns dias na semana","Todos os dias, em todas as refeições","Sim","Manhã",1,"Notas variam entre A e B (A é equivalente ao intervalo 9 a 10; B é equivalente ao intervalo 7,5 a 9)","Sim","Assalariado(a)","Excelente, dou o máximo de mim","Sempre, independente do quanto eu durmo","3 ou mais","Não, em nenhuma","","Não","",""
"33","2019/04/06 6:00:37 PM GMT-3","1995-09-09","Masculino","Ensino Superior incompleto",1.76,89,"6 a 8 horas","3","Alguns dias na semana","Todos os dias, em 1 ou 2 refeições","Sim","Mais de um turno",3,"Notas variam entre A e B (A é equivalente ao intervalo 9 a 10; B é equivalente ao intervalo 7,5 a 9)","Não","","","Apenas quando durmo pouco","Nenhuma","","","Sim","Não",""
"34","2019/04/06 6:29:48 PM GMT-3","1983-03-01","Feminino","Ensino Médio completo",1.62,60,"6 a 8 horas","2","Alguns dias na semana","Todos os dias, em todas as refeições","Não","",NA,"","Não","","","Raramente","Nenhuma","","","Não","",""
"35","2019/04/06 6:30:04 PM GMT-3","1997-09-30","Masculino","Ensino Superior incompleto",1.7,85,"Menos de 6 horas","Nenhuma","Todos os dias, em 1 ou 2 refeições","Todos os dias, em 1 ou 2 refeições","Sim","Noite",2,"Notas variam entre A e B (A é equivalente ao intervalo 9 a 10; B é equivalente ao intervalo 7,5 a 9)","Sim","Assalariado(a)","Excelente, dou o máximo de mim","Sempre, independente do quanto eu durmo","1 a 2","Sim, em todas","Sim","Não","",""
"36","2019/04/06 6:52:37 PM GMT-3","1995-11-10","Feminino","Ensino Superior completo",1.57,55,"6 a 8 horas","Nenhuma","Alguns dias na semana","Todos os dias, em todas as refeições","Sim","Noite",8,"Notas variam entre A e B (A é equivalente ao intervalo 9 a 10; B é equivalente ao intervalo 7,5 a 9)","Não","","","Sempre, independente do quanto eu durmo","3 ou mais","Não, em nenhuma","","Não","",""
"37","2019/04/06 7:00:30 PM GMT-3","2000-08-02","Feminino","Ensino Superior incompleto",1.65,50,"6 a 8 horas","2","Alguns dias na semana","Alguns dias na semana","Sim","Mais de um turno",3,"Notas variam entre A e B (A é equivalente ao intervalo 9 a 10; B é equivalente ao intervalo 7,5 a 9)","Sim","Freelancer","Excelente, dou o máximo de mim","Apenas quando durmo pouco","1 a 2","Não, em nenhuma","","Não","",""
"38","2019/04/06 7:10:14 PM GMT-3","1995-02-06","Feminino","Ensino Superior completo",1.62,65,"6 a 8 horas","Nenhuma","Alguns dias na semana","Alguns dias na semana","Sim","Manhã",0,"Notas variam entre A e B (A é equivalente ao intervalo 9 a 10; B é equivalente ao intervalo 7,5 a 9)","Não","","","Apenas quando durmo pouco","1 a 2","Não, em nenhuma","","Sim","Não",""
"39","2019/04/06 7:44:36 PM GMT-3","2019-09-05","Masculino","Ensino Superior incompleto",1.79,74,"Menos de 6 horas","Nenhuma","Alguns dias na semana","Alguns dias na semana","Sim","Mais de um turno",8,"Notas variam entre A, B e C (A é equivalente ao intervalo 9 a 10; B é equivalente ao intervalo 7,5 a 9; C é equivalente ao intervalo 6 a 7,5)","Não","","","Apenas quando durmo pouco","Nenhuma","","","Não","",""
"40","2019/04/06 7:48:34 PM GMT-3","1998-08-04","Masculino","Ensino Superior incompleto",1.84,95,"6 a 8 horas","5","Alguns dias na semana","Todos os dias, em todas as refeições","Sim","Manhã",4,"Notas variam entre A, B e C (A é equivalente ao intervalo 9 a 10; B é equivalente ao intervalo 7,5 a 9; C é equivalente ao intervalo 6 a 7,5)","Não","","","Sempre, independente do quanto eu durmo","3 ou mais","Sim, em algumas","Sim","Não","",""
"41","2019/04/06 7:51:46 PM GMT-3","1986-12-20","Feminino","Ensino Superior completo",1.58,62,"6 a 8 horas","Nenhuma","Alguns dias na semana","Todos os dias, em 1 ou 2 refeições","Não","",NA,"","Sim","Assalariado(a)","Regular, posso performar melhor","Apenas quando durmo pouco","1 a 2","Não, em nenhuma","","Sim","Não",""
